user_id,group,order,accuracy_abs,accuracy_rela,resptime_abs,resptime_rela,attention_abs,attention_rela,anxiety_abs,anxiety_rela
15,rl,1,-0.0694444444444444,-0.0735294117647058,0.0619855908056097,0.0108088150726105,1.0,0.2,1.0,1.0
16,random,1,0.0202963917525773,0.0213994565217391,-0.3472787874056307,-0.0615799853565368,0.0,0.0,-1.0,-0.1666666666666666
17,rl,1,-0.0697278911564625,-0.0760667903525045,-0.0632942844004862,-0.0131594311869063,0.0,0.0,4.0,2.0
18,rl,1,-0.0437120149602617,-0.044672718585762,-0.2298173317846821,-0.0598415003482353,0.0,0.0,0.0,0.0
19,random,1,0.0152777777777776,0.0158730158730157,0.1600018620491035,0.0316932375522517,2.0,1.0,0.0,0.0
20,random,0,0.0358413132694938,0.0390578413834227,0.1481679660024792,0.0411131434315442,0.0,0.0,-2.0,-0.5
21,rl,1,0.0416348940064054,0.0469879518072289,-0.1259249750026505,-0.0264580593047385,0.0,0.0,3.0,3.0
22,rl,1,-0.0388888888888888,-0.0393258426966291,-0.2040884673595426,-0.0382839918808564,-1.0,-0.1428571428571428,2.0,0.6666666666666666
23,rl,1,0.0833333333333333,0.0909090909090909,-0.1323138945632509,-0.0206294618853847,1.0,0.25,0.0,0.0
24,rl,0,-0.063944530046225,-0.0857438016528926,-0.9640179726179898,-0.1246653785613122,-1.0,-0.2,0.0,0.0
25,rl,1,-0.0180893159977387,-0.018390804597701,0.1104159637519099,0.0143769398516499,-2.0,-0.3333333333333333,2.0,0.6666666666666666
26,random,1,0.0281249999999999,0.0305084745762711,0.0813322258492315,0.0133643789558441,2.0,0.6666666666666666,-1.0,-0.2
27,rl,0,-0.0138957816377169,-0.0143589743589742,-0.4295028178330984,-0.0478639039669468,2.0,0.4,-1.0,-0.1428571428571428
28,rl,1,0.0462962962962962,0.0531914893617021,-0.5778805072660802,-0.0891083057462871,2.0,0.5,1.0,0.2
29,random,0,-0.011403230915426,-0.0115532734274711,-0.3644316325581904,-0.051867824860463,-2.0,-0.6666666666666666,-4.0,-0.8
30,random,0,-0.0412612612612613,-0.0435858393604873,-0.1845865683083065,-0.0343828553400657,-3.0,-0.5,-1.0,-0.25
31,random,1,-0.0987755102040816,-0.1052173913043477,-0.2297915336550495,-0.0655233321664328,1.0,0.1666666666666666,-1.0,-0.1666666666666666
32,random,1,-0.0104102246959389,-0.0106248685041026,-0.0703159597725551,-0.0192431633357583,1.0,0.2,1.0,0.3333333333333333
